index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_27.jpg2,#201b13',32,27,19,11.91303383,43.95227612,67.90899961,90.13143748,58.98648901,108.8982237,66.88667987,125.9223881,77.23597103,139.677425,50.5325075,96.80862824,85.01481406,140.2351256,100.1002739,74.80050575,128.5277526,51.09606826
Horror_8.jpg3,#e0deda',224,222,218,88.54715925,35.00391182,11.03627826,11.68825126,86.97627785,109.0454133,66.92139678,95.15748076,82.06292683,118.246995,50.64916347,50.81650298,111.5423081,146.7950478,81.55239787,91.77346317,120.0967614,69.36776891
Horror_8.jpg2,#0e0d0c',14,13,12,3.726578325,49.90504221,74.02338874,96.31848444,64.63574596,115.2751289,75.12427865,134.2712636,83.27426183,146.1084051,53.93580431,100.9296393,81.1525323,137.1794711,108.5775571,74.21079741,128.8219223,58.88555789
Horror_8.jpg1,#887167',136,113,103,50.85756807,12.25929541,30.46135292,51.78368352,55.49459972,93.27522126,51.94302244,102.0976646,71.96107282,125.4015058,40.1893583,73.04348386,91.47532425,138.1823517,76.31844539,71.49058377,115.0647239,39.21091117
Horror_21.jpg1,#1b1716',27,23,22,8.466215075,45.47835129,69.57846814,91.86524678,61.54499869,111.7927688,71.97921942,130.8562982,81.59778029,144.058107,51.39503563,98.01278239,80.5368917,136.0812752,104.707316,71.91774331,126.1045027,55.08842903
Horror_23.jpg1,#737b64',115,123,100,52.21704182,14.13688465,30.60536684,51.50398213,66.28610254,103.7278041,45.44493978,96.21575513,58.69424766,112.8026454,29.43093308,63.04942031,101.1752007,148.653965,78.2533621,84.487807,128.48314,46.65917854
Horror_23.jpg3,#131710',19,23,16,8.644765995,46.71901936,70.75068578,93.00559576,64.53604813,114.5857811,70.08269297,129.2066785,77.54324582,140.3468348,49.88928252,96.81115766,85.34009437,140.9483353,104.9705128,77.43393856,131.513729,56.60661711
Horror_23.jpg2,#dadad9',218,218,217,87.02681537,33.44433441,9.335486093,12.98526524,86.70883777,109.709865,67.49846156,96.92374829,82.22125868,119.3133311,49.04209565,50.25136983,109.576644,145.031645,82.97168515,90.20872825,118.9894874,69.31554826
Horror_2.jpg1,#f7f8f8',247,248,248,97.50603732,43.92180331,19.8041049,2.51907006,94.75075805,113.8416575,73.9432572,96.95488178,88.14883833,120.023359,57.51924065,50.1748771,116.6385583,148.941962,85.73549224,97.05924474,121.5875488,77.52948308
Horror_15.jpg1,#0a111d',10,17,29,10.14749021,49.37430967,73.23227088,95.40320804,69.59301992,119.9173152,81.67704255,140.1926206,88.90488827,151.2486932,52.4607926,99.18436184,73.26208236,129.2263919,114.5440899,68.95734123,123.5056035,64.69788286
