index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
action_25.jpg3,#6e6d85',110,109,133,49.01856245,15.7302337,33.93329173,54.97260439,69.7278301,109.6139379,72.34614247,121.7777041,85.193849,139.178892,34.87116518,69.63039676,74.60973818,120.8441385,97.89153429,60.62750051,105.0040651,58.64446615
action_26.jpg1,#391c1b',57,28,27,21.24703006,42.33052793,65.34064453,87.1460712,47.37732443,97.46318542,67.90663981,125.6569302,84.79098102,145.789032,56.88996281,101.0663372,79.1093518,133.2448403,94.62227881,64.35367857,117.473497,42.9601028
action_26.jpg2,#dedcd8',222,220,216,87.83878026,34.29688542,10.3435211,12.38570406,86.46282911,108.8158627,66.53278925,95.22059877,81.69775564,118.2418414,50.08845122,50.85888298,111.0658143,146.5279251,81.43372391,91.3230967,119.9343101,68.84570796
action_26.jpg3,#cf6731',207,103,49,82.17259821,60.83685164,64.82175362,75.49561435,33.04272585,46.82029656,51.29992958,86.09272395,89.67172307,132.6510861,87.32611983,111.5973975,120.6789897,162.8540309,39.19595248,90.70228762,124.6316195,22.05640801
action_27.jpg1,#dedddd',222,221,221,88.19167553,34.60780671,10.4926812,11.81450036,87.41554199,109.9234189,68.51797182,97.2849191,83.35042836,119.9429502,50.202827,50.55899104,109.9255359,144.9165924,83.35191899,90.46612239,118.6380983,70.1743147
action_27.jpg2,#2b1c17',43,28,23,15.09341377,42.58441043,66.34244572,88.47810259,53.9165485,103.9506631,67.06190251,125.6885033,80.35796582,142.2392268,52.80996494,98.3172601,82.05657403,136.9087636,97.60552052,69.99225207,123.534712,47.33336573
action_27.jpg3,#ab7a5b',171,122,91,62.48866265,28.94285482,36.48671152,53.12626968,46.37668797,77.64928431,42.91061033,89.39035697,72.19383502,121.5582668,55.54726085,82.34885263,103.9324332,148.8193614,58.46993092,79.28631703,119.1397257,26.7962627
action_3.jpg1,#dddbda',221,219,218,87.53661887,33.9586824,9.867491465,12.4991879,86.59103215,109.2256405,67.69724358,96.79273009,82.75792512,119.6373126,49.88454029,50.93082966,109.7690891,145.0322919,82.62579147,90.18733796,118.6671168,69.28275
action_3.jpg2,#8b7058',139,112,88,52.67768406,19.2447101,34.0908772,54.12018162,51.6813155,88.52100788,44.16608696,95.17627971,67.20923763,120.4312814,44.23469589,76.06089823,98.42960064,145.521498,68.833166,77.27840358,120.6476723,32.74697143
action_3.jpg3,#251a13',37,26,19,13.12798406,43.91921893,67.77702475,89.95499441,55.91462107,106.0164882,67.08023008,125.9870626,79.15761334,141.3642313,52.52901246,98.42758549,83.63788881,138.7509907,98.7777608,72.42014382,126.1279534,48.93228444
action_4.jpg1,#1f2324',31,35,36,13.50782659,40.27970215,64.38013237,86.66758428,64.47075607,113.7882976,70.52038573,128.81023,78.84067788,140.8211193,44.88241102,91.52321682,80.17217767,135.0394558,104.308103,71.87959175,125.3333608,56.14535256
action_4.jpg2,#dbdbdc',219,219,220,87.43332033,33.85078207,9.741357915,12.57908465,87.22726947,110.1724693,68.59491648,97.91316053,83.23932901,120.2518284,49.4062133,50.28894384,109.1159359,144.2575453,83.85637403,89.83479976,118.2805502,70.0458713
action_4.jpg3,#62686c',98,104,108,43.75365561,10.5111338,34.24484239,56.47533878,66.81140008,108.0364395,61.37271091,113.0463453,73.05351978,128.7008213,28.3321278,67.49230923,84.47390958,132.7216497,91.35664426,70.37836584,116.4093143,52.46653653
