index,['html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
impressionism_13.jpg3,['#6c7d45', (108,125, 69),59.57460968,32.85459296,42.91768729,59.84669164,69.23671238,103.7411723,28.51094449,81.43976422,41.76823122,96.70818088,39.07290289,67.37216405,118.6186091,167.1885045,69.16315261,101.1851228,145.3918327, 46.01954722836763]
impressionism_5.jpg2,['#a07e33', (160,126, 51),70.66392212,44.76118658,50.31836681,63.68055079,52.51777262,78.61897544,21.73829727,70.69747407,57.42577447,104.2813927,63.09506314,86.96778918,124.4277036,170.9931464,44.2960007,100.5119071,140.8738562, 27.847948968970844]
impressionism_27.jpg2,['#d2d5cd', (210,213, 205),84.95331045,31.55833764,8.359633831,15.77060984,85.18386392,108.9055241,63.36820412,93.68899084,77.84940694,115.5575234,46.6943322,49.34542952,111.0173726,147.81221,80.46351213,91.68396885,122.0257456, 66.91798876705155]
impressionism_19.jpg3,['#4e8892', (78,136, 146),56.80835198,19.71112261,31.38472807,50.70720464,85.59533599,124.1949685,68.03957028,114.6123641,71.09050501,122.5171629,13.91641617,49.57996425,92.37911714,137.3458707,101.0790125,82.63037555,124.8779205, 69.25483958499163]
impressionism_19.jpg2,['#cfb8a0', (207,184, 160),77.7503379,27.5439041,15.9162272,28.65395126,70.59381806,94.61545882,51.08906837,86.03827256,72.44657239,113.8759577,49.44294251,61.99458161,110.5769466,150.5111718,66.67641993,88.25412254,121.7756748, 51.412008211714394]
impressionism_19.jpg1,['#85a098', (133,160, 152),64.62926074,15.00123013,17.89998928,37.99237898,79.48878685,113.1197345,56.91441827,99.81659752,65.9081229,113.893136,25.38224204,48.51864143,101.5899308,144.8687773,86.15587521,86.33799768,125.6327129, 60.73686338487997]
impressionism_10.jpg1,['#70704b', (112,112, 75),51.14652232,22.76847909,38.05815312,57.81842449,60.81609256,98.44662489,37.04936629,90.89656229,53.95708491,109.517612,36.82372174,70.36349912,106.2985055,155.0136876,71.66215188,88.32732229,133.3165572, 39.622961524145396]
impressionism_10.jpg2,['#d3d7d6', (211,215, 214),85.67135694,32.10939823,8.10046004,14.42465218,86.72181445,110.5843611,66.95038114,97.24559998,80.99087511,118.6854859,47.08166611,48.95298538,108.9780919,144.9187314,83.63546937,90.05834442,119.5769265, 69.16388007260514]
impressionism_10.jpg3,['#241d10', (36,29, 16),14.86944365,43.48256481,67.20441784,89.32212222,56.72207467,106.3930093,63.67110483,122.799953,74.987767,137.3408371,50.95379744,96.78022337,87.74269573,142.7400618,96.84088861,76.352506,129.7446623, 48.08547891709846]
impressionism_4.jpg2,['#558f6b', (85,143, 107),62.59724814,30.46440464,38.16094866,54.58340816,84.56632632,120.2341755,45.79624678,91.78027837,44.74237643,97.11543273,22.7693492,50.08247705,115.907339,162.9171964,85.73646465,102.7122346,145.9721758, 62.92158451543925]
impressionism_4.jpg3,['#a0c1a1', (160,193, 161),77.91908316,30.18795808,21.51420757,32.91155194,85.82134146,113.8013151,50.04667702,85.05585341,58.37612651,99.53310706,35.84404371,43.78988117,118.310573,160.0378788,78.21859789,101.2350265,137.6133052, 64.26494959824139]
impressionism_4.jpg1,['#c5b65b', (197,182, 91),87.90999269,52.08059755,48.25815521,54.8558617,73.29134243,91.02888215,24.40932021,54.55217285,52.93179825,88.43179015,65.52614709,76.53088326,138.5943475,182.2705451,43.64346822,115.2072615,151.3352363, 49.30990028790188]
impressionism_0.jpg2,['#c7d6da', (199,214, 218),84.82458822,31.56022038,8.938682918,16.36696281,89.29178629,114.5820924,69.24679746,100.4798038,81.23645247,119.4602606,44.1678056,45.51098699,107.4038097,143.3585324,87.86967404,89.86784953,119.831554, 71.864842431671]
impressionism_0.jpg3,['#c9a345', (201,163, 69),86.67331283,54.88832162,53.49347306,61.29160518,63.60244829,79.27600767,24.09262092,56.54337968,59.90862597,96.8473007,72.21050877,87.39906784,137.0839968,181.0394219,33.7581526,111.8281778,147.8860342, 40.387076284274656]
impressionism_0.jpg1,['#5c5c45', (92,92, 69),40.93517767,20.57416007,41.63827873,63.08690278,59.3418184,101.2285023,46.22106028,101.6409232,60.38883944,118.3876964,34.22749356,73.74992949,97.04145521,147.2646843,80.23606705,80.94257056,128.3940496, 41.392753350933205]
